"t" "ind" "z1" "z2" "a" "y_M1"
"1" 8.01214736365905 1 -0.5 -0.0940622352063656 4.84485103133061 1
"2" 20 1 -0.5 -0.422800229862332 7.71713225490106 0
"3" 15.349753970259 0 0.5 -0.0932144245598465 0.571187399306448 NA
"4" 16.3299378777195 0 -0.5 -0.496149842860177 0.114788491399214 NA
"5" 14.6614086441678 1 0.5 -0.00398769788444042 5.66375393519087 1
"6" 20 1 -0.5 -0.480317344656214 1.51908423787779 0
"7" 16.1138275935226 0 -0.5 -0.497595289023593 0.074631527895529 NA
"8" 18.6036591208817 1 -0.5 -0.309537784662098 0.247821788946668 1
"9" 19.6152731474332 1 0.5 -0.325317194452509 1.405672790114 1
"10" 11.1928553203922 1 0.5 0.287365097552538 3.763540963421 1
"11" 11.4437260300848 1 0.5 0.466579709667712 0.0411474624132052 1
"12" 14.6667381560801 1 0.5 0.466908098664135 0.155501867264004 1
"13" 10.4446654726941 1 -0.5 0.100320386933163 3.91602946602341 1
"14" 20 1 0.5 0.382983812130988 2.22434693064866 0
"15" 12.1146667187148 1 0.5 -0.121359345270321 2.98887835461199 1
"16" 10.1310238633002 1 -0.5 -0.201120600337163 0.711084052649881 1
"17" 16.8971373612483 0 0.5 0.261701908661053 1.35974094564584 NA
"18" 6.43912668818468 1 0.5 -0.0414381418377161 3.49687986922949 1
"19" 0.897972785470509 1 0.5 0.235558598535135 0.379713421239041 1
"20" 12.5733794698532 1 0.5 0.325394566403702 4.79322586673967 1
"21" 12.0519459614701 1 -0.5 -0.319396334467456 0.302334775798749 1
"22" 13.7710982307529 1 0.5 -0.226229794323444 0.0664932999020152 1
"23" 7.746708727609 1 -0.5 -0.201869565760717 4.34705758914516 1
"24" 17.8287852670498 1 0.5 0.356765072094277 3.59207746988618 1
"25" 17.4548587661772 0 -0.5 -0.456364631420001 0.135418021359901 NA
"26" 0.186982871653922 1 -0.5 0.417758674826473 0.158884741461173 1
"27" 0.873015433418043 1 0.5 0.259748662821949 0.399007250971344 1
"28" 19.7311359095054 0 -0.5 -0.053526254137978 1.37852222338715 NA
"29" 18.1892486510397 0 0.5 -0.19552787928842 0.954945471377059 NA
"30" 11.7713239950423 1 -0.5 0.245125885354355 1.6041173149181 1
"31" 9.62322772003016 1 -0.5 0.419579823967069 0.54423733738031 1
"32" 15.8629552840688 1 0.5 0.266720313113183 1.53064327249767 1
"33" 20 1 -0.5 0.143163303844631 2.13709965863652 0
"34" 3.85924060150199 1 0.5 -0.0733107186388224 3.18600632408292 1
"35" 7.14104286793394 1 -0.5 -0.0507135218940675 6.09036309361108 1
"36" 19.4460893941865 0 -0.5 -0.410879896488041 0.337951202672786 NA
